VariableName,Form,VariableType,ShortDescriptor,DataType,AllowableCodes
NACCID,np,NACC Derived Variable,Subject ID,Character cross-sectional," Prefix ""NACC"" followed by six numbers"
NACCADC,np,NACC Derived Variable,ADC at which subject was seen,Numeric cross-sectional, 100-9999
NPFORMVER,np,Original NP question,NP Form version,Numeric cross-sectional," 1 = Version 1
7 = Version 7
8 = Version 8
9 = Version 9
10 = Version 10"
NPSEX,np,Original NP question,Subject's sex,Numeric cross-sectional," 1 = Male
2 = Female"
NACCDAGE,np,NACC Derived Variable,Age at death,Numeric cross-sectional," 15-120
	888 = Not applicable
	999 = Unknown"
NACCMOD,np,NACC Derived Variable,Month of death,Numeric cross-sectional," 0-12
88 = Not applicable
99 = Unknown"
NACCYOD,np,NACC Derived Variable,Year of death,Numeric cross-sectional," Allowable codes cannot precede 1970; in most cases, should not precede 1984
8888 = Not applicable
9999 = Unknown"
NACCINT,np,NACC Derived Variable,Time interval in months between last visit and death,Numeric cross-sectional," 0-100
888 = Not applicable
	999 = Unknown"
NPPMIH,np,Original NP question,Postmortem interval (PMI) (hours),Numeric cross-sectional," 0.0-98.9
99.9 = Unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPFIX,np,Original NP question,Fixative,Numeric cross-sectional," 1 = Formalin
2 = Paraformaldehyde
7 = Other (specify)
-4 = Not available, NP Form version submitted did not collect data in this way"
NPFIXX,np,Original NP question,Fixative other specify,Character cross-sectional," Any text or numbers 
-4 = Not available, NP Form version submitted did not collect data in this way
Blanks	Blank if NPFIX =/= 7 (Other)"
NPWBRWT,np,Original NP question,Whole brain weight (grams),Numeric cross-sectional," 100-2500
9999 = unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPWBRF,np,Original NP question,Fresh or fixed brain weight,Numeric cross-sectional," 1 = Fresh
2 = Fixed
8 = Not applicable
-4 = Not available, NP Form version submitted did not collect data in this way"
NACCBRNN,np,NACC Derived Variable,No major neuropathologic change present,Numeric cross-sectional," 0 = Some pathologic change present
1 = No major pathologic change present
8 = At least one required variable is not assessed/ missing/ unknown"
NPGRCCA,np,Original NP question,Severity of gross findings - cerebral cortex atrophy,Numeric cross-sectional," 0 = None
	1 = Mild
	2 = Moderate
	3 = Severe
	8 = Not assessed
	9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPGRLA,np,Original NP question,Severity of gross findings - lobar atrophy,Numeric cross-sectional," 0 = None
	1 = Yes
	8 = Not assessed
	9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPGRHA,np,Original NP question,Severity of gross findings - hippocampus atrophy,Numeric cross-sectional," 0 = None
	1 = Mild
	2 = Moderate
	3 = Severe
	8 = Not assessed
	9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPGRSNH,np,Original NP question,Severity of gross findings - substantia nigra hypopigmentation,Numeric cross-sectional," 0 = None
	1 = Mild
	2 = Moderate
	3 = Severe
	8 = Not assessed
	9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPGRLCH,np,Original NP question,Severity of gross findings - locus ceruleus hypopigmentation,Numeric cross-sectional," 0 = None
	1 = Mild
	2 = Moderate
	3 = Severe
	8 = Not assessed
	9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NACCAVAS,np,NACC Derived Variable,Severity of gross findings - atherosclerosis of the circle of Willis,Numeric cross-sectional," 0 = None
	1 = Mild
	2 = Moderate
	3 = Severe
	8 = Not assessed
	9 = Missing/unknown"
NPTAN,np,Original NP question,Method for scoring case - tau antibody,Numeric cross-sectional," 1 = Non-phospho specific
	2 = PHF1
	3 = CP13
	4 = AT8
	7 = Other (specify)
	8 = Not assessed
	-4 = Not available, NP Form version submitted did not collect data in this way"
NPTANX,np,Original NP question,Method for scoring case - tau antibody other specify,Character cross-sectional," Any text or numbers
-4 = Not available, NP Form version submitted did not collect data in this way
Blanks	If NPTAN =/= 7 (Other)"
NPABAN,np,Original NP question,Method for scoring case - amyloid beta antibody,Numeric cross-sectional," 1 = 4G8
	2 = 10D5
	7 = Other (specify)
8 = Not assessed
	-4 = Not available, NP Form version submitted did not collect data in this way"
